Site Name	SiteID	Meta Category	L1	L2	L3	L4	L5	L6	Cat ID	Level	Leaf	Breadcrumb	Category Name	Business Vertical (Direct Child Categories)	ODI Product Space	Lead	Category RYG Status	ET Name	GH Batch	ET Alignment	ET Alignment: Comment	Cat ID Site Alignment	Legal/Policy Requests	Focus Category – Category	Focus Category – Aspect	Planned CR	Comments	Test Category Flag	Test Category	Other Category	Key
ES	186	Arte y antigüedades		Material de bellas artes					105281	2	Yes	Arte y antigüedades [353] > Material de bellas artes [105281]	Material de bellas artes	Collectibles		Francesca Contessotto	Green					ES							N		186_105281
ES	186	Arte y antigüedades		Muebles antiguos y decoración					20091	2	No	Arte y antigüedades [353] > Muebles antiguos y decoración [20091]	Muebles antiguos y decoración	Collectibles		Francesca Contessotto	Green					US|UK|AU|ES							N		186_20091
ES	186	Arte y antigüedades			Alfombras y tapices				73468	3	Yes	Arte y antigüedades [353] > Muebles antiguos y decoración [20091] > Alfombras y tapices [73468]	Alfombras y tapices	Collectibles		Francesca Contessotto	Green					ES							N		186_73468
ES	186	Arte y antigüedades			Armarios, camas y mesillas				60275	3	Yes	Arte y antigüedades [353] > Muebles antiguos y decoración [20091] > Armarios, camas y mesillas [60275]	Armarios, camas y mesillas	Collectibles		Francesca Contessotto	Green					ES							N		186_60275
ES	186	Arte y antigüedades			Escritorios, mesas y librerías				63559	3	Yes	Arte y antigüedades [353] > Muebles antiguos y decoración [20091] > Escritorios, mesas y librerías [63559]	Escritorios, mesas y librerías	Collectibles		Francesca Contessotto	Green					IT|ES							N		186_63559
ES	186	Arte y antigüedades			Espejos				98442	3	Yes	Arte y antigüedades [353] > Muebles antiguos y decoración [20091] > Espejos [98442]	Espejos	Collectibles		Francesca Contessotto	Green					ES							N		186_98442
ES	186	Arte y antigüedades			Lámparas,quinqués,candelabros				63547	3	Yes	Arte y antigüedades [353] > Muebles antiguos y decoración [20091] > Lámparas,quinqués,candelabros [63547]	Lámparas,quinqués,candelabros	Collectibles		Francesca Contessotto	Green					IT|ES							N		186_63547
ES	186	Arte y antigüedades			Platería y cuberterías				1215	3	Yes	Arte y antigüedades [353] > Muebles antiguos y decoración [20091] > Platería y cuberterías [1215]	Platería y cuberterías	Collectibles		Francesca Contessotto	Green					US|UK|DE|IT|ES							N		186_1215
ES	186	Arte y antigüedades			Relojes: sobremesa y pared				96766	3	Yes	Arte y antigüedades [353] > Muebles antiguos y decoración [20091] > Relojes: sobremesa y pared [96766]	Relojes: sobremesa y pared	Collectibles		Francesca Contessotto	Green					ES							N		186_96766
ES	186	Arte y antigüedades			Sillas y sillones				130927	3	Yes	Arte y antigüedades [353] > Muebles antiguos y decoración [20091] > Sillas y sillones [130927]	Sillas y sillones	Collectibles		Francesca Contessotto	Green					ES							N		186_130927
ES	186	Arte y antigüedades			Otros				63591	3	Yes	Arte y antigüedades [353] > Muebles antiguos y decoración [20091] > Otros [63591]	Otros	Collectibles		Francesca Contessotto	Green					ES							N	Y	186_63591
ES	186	Arte y antigüedades		Objetos antiguos					184471	2	No	Arte y antigüedades [353] > Objetos antiguos [184471]	Objetos antiguos	Collectibles		Francesca Contessotto	Green					ES							N		186_184471
ES	186	Arte y antigüedades			Abanicos y sombrillas				93858	3	Yes	Arte y antigüedades [353] > Objetos antiguos [184471] > Abanicos y sombrillas [93858]	Abanicos y sombrillas	Collectibles		Francesca Contessotto	Green					ES							N		186_93858
ES	186	Arte y antigüedades			Antigüedades de farmacia				105283	3	Yes	Arte y antigüedades [353] > Objetos antiguos [184471] > Antigüedades de farmacia [105283]	Antigüedades de farmacia	Collectibles		Francesca Contessotto	Green					ES							N		186_105283
ES	186	Arte y antigüedades			Cajas				37943	3	Yes	Arte y antigüedades [353] > Objetos antiguos [184471] > Cajas [37943]	Cajas	Collectibles		Francesca Contessotto	Green					UK|ES							N		186_37943
ES	186	Arte y antigüedades			Náutica				66638	3	Yes	Arte y antigüedades [353] > Objetos antiguos [184471] > Náutica [66638]	Náutica	Collectibles		Francesca Contessotto	Green					US|UK|AU|ES							N		186_66638
ES	186	Arte y antigüedades			Objetos de lata/metal				63548	3	Yes	Arte y antigüedades [353] > Objetos antiguos [184471] > Objetos de lata/metal [63548]	Objetos de lata/metal	Collectibles		Francesca Contessotto	Green					UK|ES							N		186_63548
ES	186	Arte y antigüedades			Otros				118408	3	Yes	Arte y antigüedades [353] > Objetos antiguos [184471] > Otros [118408]	Otros	Collectibles		Francesca Contessotto	Green					ES							N	Y	186_118408
ES	186	Arte y antigüedades		Pinturas					93851	2	No	Arte y antigüedades [353] > Pinturas [93851]	Pinturas	Collectibles		Francesca Contessotto	Green					ES							N		186_93851
ES	186	Arte y antigüedades			Abstractos				16522	3	Yes	Arte y antigüedades [353] > Pinturas [93851] > Abstractos [16522]	Abstractos	Collectibles		Francesca Contessotto	Green					ES							N		186_16522
ES	186	Arte y antigüedades			Acrílicos y acuarelas				60438	3	Yes	Arte y antigüedades [353] > Pinturas [93851] > Acrílicos y acuarelas [60438]	Acrílicos y acuarelas	Collectibles		Francesca Contessotto	Green					ES							N		186_60438
ES	186	Arte y antigüedades			Bodegones				93853	3	Yes	Arte y antigüedades [353] > Pinturas [93851] > Bodegones [93853]	Bodegones	Collectibles		Francesca Contessotto	Green					ES							N		186_93853
ES	186	Arte y antigüedades			Desnudos y retratos				93854	3	Yes	Arte y antigüedades [353] > Pinturas [93851] > Desnudos y retratos [93854]	Desnudos y retratos	Collectibles		Francesca Contessotto	Green					ES							N		186_93854
ES	186	Arte y antigüedades			Dibujos				20120	3	Yes	Arte y antigüedades [353] > Pinturas [93851] > Dibujos [20120]	Dibujos	Collectibles		Francesca Contessotto	Green					ES							N		186_20120
ES	186	Arte y antigüedades			Escenas con animales				105285	3	Yes	Arte y antigüedades [353] > Pinturas [93851] > Escenas con animales [105285]	Escenas con animales	Collectibles		Francesca Contessotto	Green					ES							N		186_105285
ES	186	Arte y antigüedades			Paisajes y marinas				93855	3	Yes	Arte y antigüedades [353] > Pinturas [93851] > Paisajes y marinas [93855]	Paisajes y marinas	Collectibles		Francesca Contessotto	Green					ES							N		186_93855
ES	186	Arte y antigüedades			Reproducciones de cuadros				93852	3	Yes	Arte y antigüedades [353] > Pinturas [93851] > Reproducciones de cuadros [93852]	Reproducciones de cuadros	Collectibles		Francesca Contessotto	Green					ES							N		186_93852
ES	186	Arte y antigüedades			Otras				93856	3	Yes	Arte y antigüedades [353] > Pinturas [93851] > Otras [93856]	Otras	Collectibles		Francesca Contessotto	Green					ES							N	Y	186_93856
ES	186	Arte y antigüedades		Otros					355	2	Yes	Arte y antigüedades [353] > Otros [355]	Otros	Collectibles		Francesca Contessotto	Green					IT|ES							N	Y	186_355
ES	186	Artesanía y manualidades	Artesanía y manualidades						14339	1	No	Artesanía y manualidades [14339]	Artesanía y manualidades	Home & Garden		Francesca Contessotto	Green					US|UK|AU|DE|FR|IT|ES							N		186_14339
ES	186	Artesanía y manualidades		Arte floral					16491	2	No	Artesanía y manualidades [14339] > Arte floral [16491]	Arte floral	Home & Garden		Francesca Contessotto	Green					US|UK|AU|DE|FR|IT|ES							N		186_16491
ES	186	Artesanía y manualidades			Alambres de florista				153974	3	Yes	Artesanía y manualidades [14339] > Arte floral [16491] > Alambres de florista [153974]	Alambres de florista	Home & Garden		Francesca Contessotto	Green					US|UK|AU|DE|FR|IT|ES							N		186_153974
ES	186	Artesanía y manualidades			Cintas y adhesivos				183681	3	Yes	Artesanía y manualidades [14339] > Arte floral [16491] > Cintas y adhesivos [183681]	Cintas y adhesivos	Home & Garden		Francesca Contessotto	Green					US|UK|AU|DE|FR|IT|ES							N		186_183681
